 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.00000000e-08  0.00000000e+00  5.00000000e-08  0.00000000e+00 
 1.00000000e-07  0.00000000e+00  1.00000000e-07  0.00000000e+00 
 2.00000000e-07  0.00000000e+00  2.00000000e-07  0.00000000e+00 
 4.00000000e-07  0.00000000e+00  4.00000000e-07  0.00000000e+00 
 8.00000000e-07  0.00000000e+00  8.00000000e-07  0.00000000e+00 
 1.60000000e-06  0.00000000e+00  1.60000000e-06  0.00000000e+00 
 3.20000000e-06  0.00000000e+00  3.20000000e-06  0.00000000e+00 
 6.40000000e-06  0.00000000e+00  6.40000000e-06  0.00000000e+00 
 1.14000000e-05  0.00000000e+00  1.14000000e-05  0.00000000e+00 
 1.64000000e-05  0.00000000e+00  1.64000000e-05  0.00000000e+00 
 2.14000000e-05  0.00000000e+00  2.14000000e-05  0.00000000e+00 
 2.64000000e-05  0.00000000e+00  2.64000000e-05  0.00000000e+00 
 3.14000000e-05  0.00000000e+00  3.14000000e-05  0.00000000e+00 
 3.64000000e-05  0.00000000e+00  3.64000000e-05  0.00000000e+00 
 4.14000000e-05  0.00000000e+00  4.14000000e-05  0.00000000e+00 
 4.64000000e-05  0.00000000e+00  4.64000000e-05  0.00000000e+00 
 5.14000000e-05  0.00000000e+00  5.14000000e-05  0.00000000e+00 
 5.64000000e-05  0.00000000e+00  5.64000000e-05  0.00000000e+00 
 6.14000000e-05  0.00000000e+00  6.14000000e-05  0.00000000e+00 
 6.64000000e-05  0.00000000e+00  6.64000000e-05  0.00000000e+00 
 7.14000000e-05  0.00000000e+00  7.14000000e-05  0.00000000e+00 
 7.64000000e-05  0.00000000e+00  7.64000000e-05  0.00000000e+00 
 8.14000000e-05  0.00000000e+00  8.14000000e-05  0.00000000e+00 
 8.64000000e-05  0.00000000e+00  8.64000000e-05  0.00000000e+00 
 9.14000000e-05  0.00000000e+00  9.14000000e-05  0.00000000e+00 
 9.64000000e-05  0.00000000e+00  9.64000000e-05  0.00000000e+00 
 1.01400000e-04  0.00000000e+00  1.01400000e-04  0.00000000e+00 
